"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol"
"ENSG00000173372.16",151503.132091819,2.67943405080733,0.771779491533671,3.47176114447248,0.000517056161569742,0.00226133209335859,"C1QA"
"ENSG00000159189.11",199619.708865629,2.53453239653234,0.774510029907062,3.27243327867099,0.00106626035809121,0.00429141597661708,"C1QC"
"ENSG00000173369.15",271703.375080278,2.70456681339599,0.788687721791788,3.42919857716511,0.000605366434102086,0.00260290727541947,"C1QB"
"ENSG00000130768.14",5044.1481511084,0.425900562934947,0.711136366963352,0.598901396020006,0.549238640463166,0.765131948964148,"SMPDL3B"
"ENSG00000126067.11",250823.62909637,0.386546841556026,0.170076458481961,2.27278275315819,0.023039274871526,0.0629904190922221,"PSMB2"
"ENSG00000116898.11",146166.097951379,0.691693908772571,0.179495219593287,3.8535505866945,0.000116417196837482,0.000592251385824251,"MRPS15"
"ENSG00000134690.10",8050.35037195166,4.1484514807977,0.271437365493793,15.2832734478207,9.88481370091031e-53,2.57338118369383e-49,"CDCA8"
"ENSG00000117399.13",8546.10591145196,3.60766363936027,0.526847031082896,6.84764917806402,7.50733912134612e-12,1.69640485289294e-10,"CDC20"
"ENSG00000142945.12",8537.78699226995,4.9631790583872,0.321629570783579,15.4313518072842,1.0073788498127e-53,3.11431171419596e-50,"KIF2C"
"ENSG00000116675.15",658269.000671755,-3.67631356993509,0.344131436924545,-10.6828762951441,1.22418792579226e-26,2.67934652926498e-24,"DNAJC6"
"ENSG00000282608.1",32800.2422567112,2.48956888424636,0.730652194029051,3.40732417501968,0.000656031600106623,0.00279668594912299,"ADORA3"
"ENSG00000155366.16",485433.774230241,2.4545565272284,0.423584802382472,5.79472283571703,6.84341040086637e-09,8.73329339701893e-08,"RHOC"
"ENSG00000116128.10",115283.410474478,-0.264363924373918,0.273791893367637,-0.965565200350692,0.334261795716144,0.553693667856076,"BCL9"
"ENSG00000143603.18",231854.713487637,-0.0808202525012634,0.524924822159716,-0.153965385307446,0.877637028620166,0.971305064216786,"KCNN3"
"ENSG00000143320.8",32593.9470135356,-0.0896100395081168,0.448872155069445,-0.199633767646499,0.841767016577724,0.953144485578256,"CRABP2"
"ENSG00000177807.8",848105.254655847,-1.3451158281594,0.464345862869141,-2.89679727056914,0.0037699328542155,0.0130897064931149,"KCNJ10"
"ENSG00000162734.12",4813562.49405294,-0.231529630574805,0.35554540136427,-0.651195683269698,0.514920176554969,0.736702386634512,"PEA15"
"ENSG00000162738.5",130329.108318131,1.89103333304174,0.337157609534777,5.60875175159494,2.03791092885081e-08,2.34972555209036e-07,"VANGL2"
"ENSG00000158869.10",59087.4648007316,3.0788363776373,0.711997164734803,4.32422561511753,1.53068584470994e-05,9.66139808736895e-05,"FCER1G"
"ENSG00000143226.13",71563.6144249725,3.0774811441338,0.739778733256671,4.16000218144423,3.18244554764311e-05,0.000186005537715489,"FCGR2A"
"ENSG00000203747.10",150551.74124506,2.60850314310712,0.824720458434651,3.16289370104647,0.00156209358230493,0.00600601608667945,"FCGR3A"
"ENSG00000117143.13",96062.2222642804,0.226005232105288,0.227123678853346,0.995075604825947,0.319699494485038,0.536454840735733,"UAP1"
"ENSG00000143153.12",1807778.95450342,-2.90943074258818,0.402596256207937,-7.22667113199753,4.94976786681936e-13,1.41196838387747e-11,"ATP1B1"
"ENSG00000143156.13",268793.881475337,-1.20421370351269,0.327729433378855,-3.67441426025541,0.000238395679228561,0.00112562083594516,"NME7"
"ENSG00000135838.13",85881.570245468,1.79765196639502,0.482402044672108,3.72646008915011,0.000194187803621825,0.000936372150355815,"NPL"
"ENSG00000066279.17",4552.55862995122,4.7588102541621,0.662318500855259,7.18507824863264,6.71687066570908e-13,1.86130695018843e-11,"ASPM"
"ENSG00000133048.12",1430645.06882655,6.30205410866169,0.963205735220141,6.5427913043119,6.03810653015433e-11,1.14476389960734e-09,"CHI3L1"
"ENSG00000117650.12",3853.41311385089,3.28104360909416,1.01987965889652,3.21708897758012,0.00129498430545729,0.00509141591965183,"NEK2"
"ENSG00000162910.18",117349.69868113,0.0483405375765431,0.206901563844024,0.233640271626875,0.81526426064021,0.938954814853016,"MRPL55"
"ENSG00000026025.15",2159633.20114793,3.56934115089461,0.590426104701258,6.04536473315423,1.49072375425591e-09,2.17706406201695e-08,"VIM"
"ENSG00000170312.15",7673.22161786073,4.7834349847813,0.462300157694318,10.3470329939714,4.3165587081439e-25,7.70809602670144e-23,"CDK1"
"ENSG00000099284.13",50668.8379097305,-0.466636677243097,0.297703391119273,-1.56745502793464,0.117008370230739,0.246253755907469,"H2AFY2"
"ENSG00000059915.16",1899310.82716471,-3.92308929633618,0.597561706984792,-6.5651618075253,5.19763906756906e-11,9.99207224400451e-10,"PSD"
"ENSG00000134333.13",863557.250871119,1.24184936727209,0.277161725316436,4.48059473527333,7.44353311708808e-06,5.04849749216571e-05,"LDHA"
"ENSG00000121621.6",2155.85978080962,4.56201700873332,0.536119183937499,8.50933364336606,1.74935783967338e-17,1.03877834551746e-15,"KIF18A"
"ENSG00000085063.14",1022535.28114381,0.562198453972214,0.272800413479268,2.06084164903562,0.0393181496072032,0.099368125494109,"CD59"
"ENSG00000157570.11",136281.250969266,1.73024747070187,0.861096881205603,2.00935284805513,0.0444997269830485,0.110172405800566,"TSPAN18"
"ENSG00000121653.11",1211297.29180212,-1.41759261680144,0.257800518287773,-5.49879661304262,3.82391883265994e-08,4.18928728989349e-07,"MAPK8IP1"
"ENSG00000110492.15",96748.2941590913,4.21974398984455,0.465844099319664,9.058275066717,1.32529691919081e-19,1.05903855914143e-17,"MDK"
"ENSG00000110077.14",51321.561962822,4.36807592416407,0.776079725848522,5.62838556230581,1.8190412323111e-08,2.12611189780332e-07,"MS4A6A"
